Id,Title,Receiver,Sender,Content,Reward
1001,祝贺你取得了首战胜利！,亲爱的经理,董事会,<tab>恭喜你为{name}拿下了新赛季的首战胜利！赞！\n<tab>不得不说，这段时间突击训练的效果令人吃惊。这让我们多少对新赛季有了一些底气。\n<tab>不过，我们的对手也不是吃素的，听说他们都在摩拳擦掌。请你无论如何要让俱乐部本赛季的排名有所提升。,
1002,一场令人印象深刻的比赛！,亲爱的经理,董事会,<tab>我们收到了{name}新赛季首战的报告。虽然只是平局，但我们队伍的表现令人印象深刻。你做得很好！\n<tab>不得不说，这段时间突击训练的效果令人吃惊。这让我们多少对新赛季有了一些底气。\n<tab>我们的对手毕竟不是吃素的，听说他们都在摩拳擦掌。请你无论如何要让俱乐部本赛季的排名有所提升。\n<tab>相信胜利很快就会到来！,
1003,一场令人印象深刻的比赛！,亲爱的经理,董事会,<tab>我们收到了{name}新赛季首战的报告。虽然首战告负，但我们队伍的表现令人印象深刻。你做得很好！\n<tab>不得不说，这段时间突击训练的效果令人吃惊。这让我们多少对新赛季有了一些底气。\n<tab>我们的对手毕竟不是吃素的，听说他们都在摩拳擦掌。请你无论如何要让俱乐部本赛季的排名有所提升。\n<tab>相信胜利很快就会到来！,
1004,一封来自董事会的邮件,亲爱的经理,忧心忡忡的董事会,<tab>我们得知了你的队伍与{name}进行的热身赛。坦率说，我们对接下来的联赛表示担忧。\n<tab>我们听说您在训练方面有着独到的经验。希望在新赛季开始前，球队能得到全面的训练和提升。\n<tab>期待您的好消息。,2:200101:1|1:2:20000
1005,封测感谢函,亲爱的经理,制作组,<tab>欢迎参加《中职篮：全力以赴》的内测，本次测试为期14天，服务器将于2023年4月20日12：00关闭。本次测试采用删档不计费的形式，测试结束后您的账号信息和游戏进度均不会被保存，感谢您的理解与支持。\n<tab>本次为游戏技术测试，仅对安卓设备开放。我们希望通过本次测试让大家了解到游戏的大部分内容、找出潜在的BUG，并优化游戏性。真诚的希望您可以加入官方测试群257017040，反馈您遇到的问题与对游戏的建议。\n<tab>,
2001,竞技场赛季结算,亲爱的经理,系统,<tab>恭喜你在上一季竞技场挑战中进阶到{name}！\n虽然未能晋级S级，但我们队伍的表现令人印象深刻。你做得很好！\n<tab>不得不说，这段时间突击训练的效果令人吃惊。这让我们多少对新赛季有了一些底气。\n<tab>我们的对手毕竟不是吃素的，听说他们都在摩拳擦掌。请你无论如何要让俱乐部本赛季的排名有所提升。\n<tab>相信胜利很快就会到来！,1:1:50|1:2:20000
2002,竞技场赛季S级结算,亲爱的经理,系统,<tab>恭喜你在上一季竞技场挑战中进阶到S级！并取得了{rank}名！\n我们队伍的表现令人印象深刻。你做得很好！,1:1:50|1:2:20000
3001,充值成功,亲爱的经理,系统,由于您购买的{0}礼包奖励到账时您不在线，现已邮件发送给您，请尽快领取。,
3002,活动奖励补发,亲爱的经理,系统,您在[{0}]活动中的奖励未领取，请尽快查收。,
3003,[{name}]活动奖励,亲爱的经理,系统,您在[{name}]活动中获得了第{rank}名，奖励已经发放，请尽快查收。,
3004,[{name}]活动奖励,亲爱的经理,系统,您在[{name}]活动中未进入前50名，活动参与奖励已经发放，请尽快查收。,
3005,删档封测奖励返还,亲爱的经理,系统,您在删档封测中累计充值{yuan}元，根据双倍奖励规则，返还您{number}钻石，请尽快查收。,
