Id,Name,Desc,Content
0,Null,无,无
1001,UnlockTrainText,解锁训练,{TrainName}训练
1002,UpgradeText,升级,升级
1003,UnlockText,解锁,解锁
1004,ClearBigBangCDContent,立刻完成超能训练,花费{Cost}立刻完成超能训练的启动准备？
1005,InviteMatchResultSuccessText,邀请赛胜利,干得漂亮! 战胜了{ClubName}
1006,InviteContentText,邀请赛文本,打个比赛吧{ClubName}
1007,InviteTitleText,邀请赛标题,来自{ClubName}的邀请
1008,OfflineVideoReward,离线收益翻倍,获得的收益翻倍了。
1009,EnableText,开启,开启
1010,BigBangReayText,超能准备,超能准备
1011,NeedExpText,还需累计经验,还需累计经验
1012,ResidueTimeText,预估剩余时间,预估剩余时间
1013,ExpOutputText,经验产出效率,经验产出效率
1014,NextBigBangText,下一次超能训练,下一次超能训练
1015,ReadyText,启动已准备就绪!,启动已准备就绪!
1016,HealthText,健康,健康
1017,MinorInjuryText,轻伤,轻伤
1018,SeriousInjury,重伤,重伤
1019,RecruitFloorsLeftCount,剩余多久可以抽到卡,招募<color=#0EDE35>{FloorsCount}</color>次后必定获得<color=orange>橙色球员</color>
1020,NotYetAchieve,未获得,未获得
1021,Achieve,已拥有,已拥有
1022,RecruitOnce,抽一次,抽一次
1023,RecruitTen,抽十次,抽十次
1024,UseText,使用,使用
1025,OpenText,打开,打开
1026,CompoundText,合成,合成
1027,ExpirationTimeText,{time}过期,{time}过期
1028,MasterskillText,{playerName}掌握了{skillName},{playerName}掌握了{skillName}
1029,HasBennSelected,已选 <color=#E2E9EF>{value}</color>,已选 <color=#E2E9EF>{value}</color>
1030,SaveNewFormationTemp,保存阵型,当前使用的新阵型尚未保存，是否命名保存？
1031,DateString,MM月dd日 HH:mm,MM月dd日 HH:mm
1032,RoundText,第{value}轮,第{value}轮
1033,GoalsScoredText,进球数,进球数
1034,AssistsNumberText,助攻数,助攻数
1035,StealCountText,抢断数,抢断数
1036,ZeroKeeperText,零封数,零封数
1037,LeagueNameText,联赛,联赛
1038,CupNameText,杯赛,杯赛
1039,ChampionshipNameText,冠军赛,冠军赛
1040,WorldCompetitionNameText,世俱杯,世俱杯
1041,LeagueIntroduceTitle1,联赛赛制,联赛赛制
1042,LeagueIntroduceValue1,联赛赛制介绍,20支球队双循环主客场赛制，共38轮比赛，每天10场比赛，一个赛季共约4天。
1043,LeagueIntroduceTitle2,排名规则,排名规则
1044,LeagueIntroduceValue2,排名规则介绍,胜场>>场次>>净胜分>>得分。\n如全部相同时，则先创建的球队排名在前。
1045,LeagueIntroduceTitle3,升降级规则,升降级规则
